id,category,kind,question,tool,mode,factual_correctness,evidence_grounding,no_hallucination,appropriate_uncertainty,overall_pass,reason,answer
D2,population_weak,listing_high_pop_weak,Which weak areas affect the most people?,get_high_population_weak_zones,llm,1,1,1,1,1,,"These areas across Dubai, Sharjah, and Ajman are highlighted on the map because they combine weak network experience with large numbers of people living there — meaning any issues there impact the highest number of residents. Most are flagged as priority zones needing attention, with Al Qusais Industrial 2 in Dubai having the largest affected population overall."
E1,priority,listing_priority,Which five areas should be investigated first?,get_top_priority_zones,llm,1,1,1,1,1,,"The five highest-priority areas nationwide are highlighted on the map — they cover parts of Abu Dhabi, Dubai, and Sharjah, and each shows weaker network experience than similar areas, affecting large numbers of residents. These are ranked highest for follow-up based on how poor the experience is, how confident we are in the data, and how many people are affected."
E2,priority,listing_priority,"If I can investigate only three, which three?",get_top_priority_zones,llm,1,1,1,1,1,,"These three areas are highlighted on the map: Al Mafraq (Abu Dhabi), Gardenia Townhomes (Dubai), and Al Furjan (Dubai). They rank highest for investigation because they combine low experience scores, worse performance than similar areas, high confidence in the data, and large numbers of people affected."
E3,priority,listing_priority,What is the highest-priority area?,get_top_priority_zones,llm,1,0,1,1,0,"ungrounded number(s) in answer: ['53', '074']","The highest-priority area is Al Mafraq, Abu Dhabi, now highlighted on the map. It has a low experience score (41.4), performs notably worse than similar areas, and affects a large population of about 53,074 people — with high confidence in the data behind this result."
E4,priority,listing_priority,Show the top 10 priority zones.,get_top_priority_zones,llm,1,0,1,1,0,"ungrounded number(s) in answer: ['29', '000', '134', '000']","These are the 10 highest-priority areas across the UAE, now highlighted on the map — each shows notably weaker mobile experience than similar areas, affecting anywhere from roughly 29,000 to over 134,000 people, which is why they rank highest for attention. Note that one of these (Hamriya Free Zone) has fewer public measurements backing its result, so its numbers are less certain than the others."
E5,priority,listing_priority,Which areas need the highest priority?,get_top_priority_zones,llm,1,1,1,1,1,,"These are the top 5 highest-priority areas nationwide, now highlighted on the map, spanning Abu Dhabi, Dubai, and Sharjah. Each combines a low network experience score, worse performance than similar areas, and a large number of people affected, which is why they rank as top priorities for attention."
F1,explanation,zone_why_priority,Why was this zone given high priority?,get_zone_details,llm,1,0,1,1,0,"ungrounded number(s): ['53', '000']","Al Mafraq, Abu Dhabi was flagged high priority because its experience score is well below similar low-density residential areas, it's been getting worse recently at an unusual rate, and a large number of people—over 53,000—live there and are affected."
F2,explanation,zone_why_priority,Why was this zone flagged?,get_zone_details,llm,1,0,1,1,0,"ungrounded number(s): ['53', '074']","Al Mafraq, Abu Dhabi was flagged because its experience score is well below similar low-density residential areas, it's been getting worse quarter over quarter, its recent changes look unusual compared to its own past pattern, and a large number of people (around 53,074) live there — together these push it into the high-priority category on the map."
F3,explanation,zone_why_priority,What factors contribute to its priority?,get_zone_details,llm,1,1,1,1,1,,"In Al Mafraq, Abu Dhabi, priority is high because the area is scoring well below similar residential areas, showing unusual recent changes, is on a clear worsening trend, and affects a large number of people — all flagged as high-impact factors."
G1,confidence,zone_confidence,How confident are we in this zone?,get_zone_details,llm,1,1,1,1,1,,"Confidence in the data for Al Mafraq, Abu Dhabi is very high, at 99.8 out of 100, backed by a strong volume of measurements (199 tests across 107 devices) and 8 quarters of history — so you can trust this reading is solid, not a data gap issue."
G2,confidence,zone_confidence,Why is confidence low?,get_zone_details,llm,1,1,1,1,1,,"Confidence is low for Al Zahraa, Abu Dhabi because there simply isn't much public measurement data to go on — only 21 tests from 15 devices — so the reading is based on a small sample rather than a strong volume of evidence."
G3,confidence,zone_confidence,Why is confidence high?,get_zone_details,llm,1,1,1,1,1,,"Confidence is high for Al Mafraq, Abu Dhabi because the score is based on a solid amount of public measurement data — 199 tests from 107 different devices, tracked consistently across 8 quarters. That level of data volume and history gives strong confidence in the result."
G4,confidence,zone_evidence,Does this area have enough public evidence?,get_zone_details,llm,1,1,1,0,0,evidence-insufficiency not communicated in narration,No — this area (Unnamed area – Abu Dhabi) doesn't have enough public measurements this quarter to reliably assess it. That's different from performing poorly; it simply means there's too little data to draw conclusions right now.
H1,qoq_change,zone_trend,What changed in this zone versus the previous quarter?,get_zone_trend,llm,1,1,1,1,1,,"This zone's experience score dropped from the previous quarter, continuing a declining trend, and is now running below similar areas. The drop was driven mainly by slower download speeds and reduced upload speeds, even though latency improved slightly quarter-on-quarter."
H2,qoq_change,zone_trend_metric,Did download improve?,get_zone_trend,llm,0,1,1,1,0,"expected download_mbps_change_qoq=-93.65, got -93.65 (direction_ok=False)","No — for this area, download speed actually dropped in the most recent quarter, falling by 93.65 Mbps compared to the previous quarter, and the overall trend over the past 8 quarters is currently declining."
H3,qoq_change,zone_trend_metric,Did latency deteriorate?,get_zone_trend,llm,0,0,1,1,0,"expected latency_ms_change_qoq=-48.05, got -48.05 (direction_ok=False) | ungrounded number(s): ['492', '948', '834']","Yes, this area is currently trending worse overall, and latency has been climbing sharply over the tracked period (rising from around 492ms to a peak near 948ms before easing slightly to about 834ms most recently). That's a notable increase in delay, and it's part of why the area is flagged as deteriorating on the map."
H4,qoq_change,zone_trend_metric,Did upload increase?,get_zone_trend,llm,0,1,1,1,0,"expected upload_mbps_change_qoq=-6.79, got -6.79 (direction_ok=False)","For this area, upload speed did not increase — it actually dropped in the most recent quarter (down 6.79 Mbps from the previous quarter), continuing a broader decline that's been flagged as an unusual recent change."
I1,supporting_measurements,zone_measurements,What measurements support this recommendation?,get_zone_details,llm,1,1,1,1,1,,"For Al Mafraq, Abu Dhabi, this is based on 199 measurements from 107 devices collected over 8 quarters, giving a very high confidence score of 99.8. The readings show strong download speeds (351.26 Mbps) but very high latency (833.68 ms), and the area scores notably worse than similar low-density residential areas, with a worsening trend and unusual recent changes flagged in the data."
I2,supporting_measurements,zone_raw_metrics,"What are the download, upload, and latency for this zone?",get_zone_details,llm,1,1,1,1,1,,"In Al Mafraq, Abu Dhabi, average download speed is 351.26 Mbps and upload speed is 22.39 Mbps, but latency is high at 833.68 ms, meaning connections respond quite slowly despite decent speeds."
I3,supporting_measurements,zone_raw_metrics,How many tests and devices support this?,get_zone_details,llm,1,1,1,1,1,,"In Al Mafraq, Abu Dhabi, this result is based on 199 tests collected from 107 different devices."
J1,area_lookup,locate_area,"Show me Al Mafraq, Abu Dhabi",locate_area,llm,1,1,1,1,1,,"The map now highlights the zones making up Al Mafraq, Abu Dhabi, so you can see exactly where this area is located."
J2,area_lookup,locate_area,Show me Al Mafraq Abu Dhabi,locate_area,llm,1,1,1,1,1,,"The map is now highlighting Al Mafraq, Abu Dhabi — since this area covers several map zones, all of these areas are shown highlighted together."
J3,area_lookup,locate_area,show me al mafraq,locate_area,llm,1,1,1,1,1,,"The map now highlights these areas covering Al Mafraq, Abu Dhabi."
J4,area_lookup,locate_area,SHOW ME AL MAFRAQ,locate_area,llm,1,1,1,1,1,,"The map now highlights all the areas making up Al Mafraq, Abu Dhabi, so you can see its full coverage in one view."
J5,area_lookup,locate_area,What is happening in Al Mafraq?,locate_area,llm,1,1,1,1,1,,"The map shows the areas of Al Mafraq, Abu Dhabi that matched your search. This tool only located the zones — it doesn't include any performance data, so I can't say more about what's actually happening there network-wise without pulling that information separately."
J6,area_lookup,locate_area,Show me Al Furjan,locate_area,llm,1,1,1,1,1,,"The map is now highlighting Al Furjan, Dubai — that's the area you asked about."
J7,area_lookup,locate_area,Show me Al Mahatta,locate_area,llm,1,1,1,1,1,,"The map is now highlighting Al Mahatta, Sharjah — that's the area you asked to see."
J8,area_lookup,locate_area,Where is Al Bithnah?,locate_area,llm,1,1,1,1,1,,"Al Bithnah, Fujairah is highlighted on the map — that's the area this location refers to."
J9,area_lookup,locate_area,Show me Adhan,locate_area,llm,1,1,1,1,1,,"The map is now highlighting these areas covering Adhan, Ras Al Khaimah."
J10,area_lookup,locate_area,Show me Al Haniyah,locate_area,llm,1,1,1,1,1,,"The map is now centered on Al Haniyah, Ajman — that's the area highlighted for you to explore."
J11,area_lookup,locate_area,Show me Al Biyatah,locate_area,llm,1,1,1,1,1,,"The map is now highlighting Al Biyatah, Umm Al Quwain — that's the area you asked to see."
J12,area_lookup,locate_area,Show me muwailah,locate_area,llm,1,1,1,1,1,,"The map is now highlighting these areas, which cover Muwaylih, Abu Dhabi."
J13,area_lookup,locate_area_ambiguous,Show me Al Seyouh Suburb,,clarification,1,1,1,1,1,,Did you mean Al Seyouh Suburb in Dubai or Sharjah?
K1,filtering,listing_metric_threshold,areas above median download,get_metric_threshold_zones,llm,1,1,1,1,1,,"The map highlights all the areas across the UAE where measured download speeds came in above the national median of 400.1 Mbps — a large group spanning Abu Dhabi, Dubai, Sharjah, Ras Al Khaimah, Ajman, Umm Al Quwain, and Fujairah. Since so many areas qualify, they're best viewed on the map rather than listed out individually."
K2,filtering,listing_metric_threshold,areas below median download,get_metric_threshold_zones,llm,1,1,1,1,1,,"This map highlights a large number of areas across the UAE where measured download speeds fall below the national median of 400.1 Mbps. Many of these are lower-population industrial or rural zones with low measurement confidence, but the list also includes several high-population, well-measured areas — some flagged as priority zones needing attention."
K3,filtering,listing_metric_threshold,areas above median upload,get_metric_threshold_zones,llm,1,1,1,1,1,,"These are all the areas across the UAE where average upload speeds are higher than the national median of 30.89 Mbps for this quarter — they're highlighted on the map. It's a broad group spanning multiple emirates, so speeds here are relatively strong, though how reliable that reading is (based on available measurements) varies from area to area."
K4,filtering,listing_metric_threshold,areas below median upload,get_metric_threshold_zones,llm,1,0,1,1,0,"ungrounded number(s) in answer: ['160', '000']","The map highlights a large number of areas across the UAE (mainly in Abu Dhabi, Dubai, and Sharjah) where measured upload speeds are below the national median of 30.89 Mbps. Given the large number of areas involved, the map is the clearest way to see where they are — with populations affected ranging from very small pockets up to over 160,000 people in some spots."
K5,filtering,listing_metric_threshold,areas above median latency,get_metric_threshold_zones,llm,1,0,1,1,0,ungrounded number(s) in answer: ['000'],"These highlighted areas across the UAE all have slower-than-typical latency, sitting above the nationwide median of 579.73 ms. It's a large group spanning several emirates, with response delays ranging from just over the median up to well over 2,000 ms in the worst-hit spots — check the map for exactly where they are."
K6,filtering,listing_metric_threshold,areas below median latency,get_metric_threshold_zones,llm,1,1,1,1,1,,"The map is highlighting all the areas across the UAE where typical network latency is lower (better) than the national median of 579.73 ms — these are shown highlighted on the map, spanning multiple emirates. This is a broad, mostly good-news list, though a few of these areas still show other issues, such as being worse than similar areas or having low measurement confidence."
K7,filtering,listing_metric_threshold,areas better than median download,get_metric_threshold_zones,llm,1,1,1,1,1,,"These highlighted areas across the UAE all have download speeds above the nationwide median of 400.1 Mbps, meaning they're getting faster-than-typical mobile broadband. The map shows their locations — you can click into any one for its specific details."
K8,filtering,listing_metric_threshold,areas worse than median download,get_metric_threshold_zones,llm,1,1,1,1,1,,"These are all the areas across the UAE where measured download speeds fall below the national median of 400.1 Mbps — a large number of zones, spanning every emirate, are highlighted on the map. Many of the lowest performers sit in industrial or rural/edge locations with fewer public measurements, while some larger residential and urban areas also fall short of the median despite higher confidence in their data."
K9,filtering,listing_metric_threshold,areas better than median latency,get_metric_threshold_zones,llm,1,1,1,1,1,,"These highlighted areas across the UAE all have latency lower (better) than the national median of 579.73 ms, meaning they're getting quicker network response times than typical for the country. They span all seven emirates and a mix of area types, so no single region stands out — this is simply a broad set of better-than-average performers on this one metric."
K10,filtering,listing_metric_threshold,areas worse than median latency,get_metric_threshold_zones,llm,1,1,1,1,1,,"These highlighted areas across the UAE all have typical latency higher than the national median of 579.73 ms, meaning connections there tend to feel slower than in half of the country's measured areas. Many of these zones also show low measurement confidence, so treat the worst cases as indicative rather than certain until more data comes in."
L1,trap_refusal,refusal_trap,Which e& site is causing this poor experience?,,refusal,1,1,1,1,1,,"This system uses public, outside-in mobile experience measurements (crowdsourced Speedtest data) with no operator attribution. It cannot determine which e&, or any other operator's, site, tower, or internal network element caused an observed result, and it does not have customer, root-cause, or indoor-coverage data of any kind."
L2,trap_refusal,data_source_fact,Is this e& network data?,,fixed_fact,1,1,1,1,1,,"No. This system is built entirely from public, crowdsourced data: Ookla Speedtest Open Data, WorldPop population estimates, and OpenStreetMap. It contains no e& internal network data, counters, alarms, or customer records at any stage."
L3,trap_refusal,refusal_trap,Which e& tower serves this zone?,,refusal,1,1,1,1,1,,"This system uses public, outside-in mobile experience measurements (crowdsourced Speedtest data) with no operator attribution. It cannot determine which e&, or any other operator's, site, tower, or internal network element caused an observed result, and it does not have customer, root-cause, or indoor-coverage data of any kind."
L4,trap_refusal,refusal_trap,Is e& worse than du here?,,refusal,1,1,1,1,1,,"This system uses public, outside-in mobile experience measurements (crowdsourced Speedtest data) with no operator attribution. It cannot determine which e&, or any other operator's, site, tower, or internal network element caused an observed result, and it does not have customer, root-cause, or indoor-coverage data of any kind."
L5,trap_refusal,refusal_trap,Which operator has the best network here?,,refusal,1,1,1,1,1,,"This system uses public, outside-in mobile experience measurements (crowdsourced Speedtest data) with no operator attribution. It cannot determine which e&, or any other operator's, site, tower, or internal network element caused an observed result, and it does not have customer, root-cause, or indoor-coverage data of any kind."
L6,trap_refusal,refusal_trap,What is the root cause of the poor performance?,,refusal,1,1,1,1,1,,"This system uses public, outside-in mobile experience measurements (crowdsourced Speedtest data) with no operator attribution. It cannot determine which e&, or any other operator's, site, tower, or internal network element caused an observed result, and it does not have customer, root-cause, or indoor-coverage data of any kind."
L7,trap_refusal,refusal_trap,Tell me the site ID responsible.,,refusal,1,1,1,1,1,,"This system uses public, outside-in mobile experience measurements (crowdsourced Speedtest data) with no operator attribution. It cannot determine which e&, or any other operator's, site, tower, or internal network element caused an observed result, and it does not have customer, root-cause, or indoor-coverage data of any kind."
L8,trap_refusal,refusal_trap,Does e& have better coverage than du in this area?,,refusal,1,1,1,1,1,,"This system uses public, outside-in mobile experience measurements (crowdsourced Speedtest data) with no operator attribution. It cannot determine which e&, or any other operator's, site, tower, or internal network element caused an observed result, and it does not have customer, root-cause, or indoor-coverage data of any kind."
L9,trap_refusal,refusal_trap,How many customers use this network?,,refusal,1,1,1,1,1,,"This system uses public, outside-in mobile experience measurements (crowdsourced Speedtest data) with no operator attribution. It cannot determine which e&, or any other operator's, site, tower, or internal network element caused an observed result, and it does not have customer, root-cause, or indoor-coverage data of any kind."
L10,trap_refusal,refusal_trap,What is the number of customers affected?,,refusal,1,1,1,1,1,,"This system uses public, outside-in mobile experience measurements (crowdsourced Speedtest data) with no operator attribution. It cannot determine which e&, or any other operator's, site, tower, or internal network element caused an observed result, and it does not have customer, root-cause, or indoor-coverage data of any kind."
L11,trap_refusal,refusal_trap,Identify the faulty e& site.,,refusal,1,1,1,1,1,,"This system uses public, outside-in mobile experience measurements (crowdsourced Speedtest data) with no operator attribution. It cannot determine which e&, or any other operator's, site, tower, or internal network element caused an observed result, and it does not have customer, root-cause, or indoor-coverage data of any kind."
L12,trap_refusal,refusal_trap,What network element is failing here?,,refusal,1,1,1,1,1,,"This system uses public, outside-in mobile experience measurements (crowdsourced Speedtest data) with no operator attribution. It cannot determine which e&, or any other operator's, site, tower, or internal network element caused an observed result, and it does not have customer, root-cause, or indoor-coverage data of any kind."
L13,trap_refusal,unsupported_no_hallucination,What will experience be next quarter?,,clarification,1,1,1,1,1,,Did you mean highest experience or lowest experience?
L14,trap_refusal,unsupported_no_hallucination,How many people work in this zone during the day?,,unmatched,1,1,1,1,1,,I could not map this question to a supported tool. Try one of the ten canonical questions.
